2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
126;228;820;691;2334;5094;4358;6179;1587;788;1924;11939;44672;204451;14108;6841;11481;31551;35465
113;181;944;658;1961;5027;4375;7477;1887;1088;2052;10646;55940;195465;12630;6702;10195;41726;41432
197;158;846;633;2137;4882;3757;5836;1405;906;1914;11019;54122;204229;9948;7412;9409;39480;38805
167;186;823;593;1879;4692;3348;4782;1531;616;1733;10680;49261;180750;8515;7370;9893;31899;33223
196;169;778;640;1917;4674;2945;4230;1493;1108;1795;10345;50761;171280;8947;7916;8935;34125;34303
183;155;919;588;2177;4782;4065;3772;1488;770;1802;9755;52376;189057;10473;9202;12054;38025;32967
143;182;800;521;1921;5048;3601;3607;1496;869;1792;9381;49920;204081;8189;8961;11007;35164;38742
128;164;785;652;2196;5045;3270;3634;1404;635;2303;9393;43455;193275;10098;8690;10576;40635;30537
117;159;775;547;2065;4844;3538;4033;1605;585;3084;10750;47786;193186;10615;7001;10242;41260;34194
112;160;779;585;2361;5546;2830;3869;1548;538;2697;10166;45637;211295;10054;6637;12483;35755;37871
