name;cryptominisat(jni);glucose(jni);minisat(jni);sat4j;lingeling(jni);plingeling(jni);minisatprover(jni)
transition_0_0;2810.5;253.2;335.4;1051.1;1656.6;1146.4;236.3
transition_0_20;2148.7;373.1;740.7;2158.9;1439.8;4072.1;199.9
transition_4_0;4202.9;185.9;510.3;562;1871;1507.7;962.5
state_0_0;12736.1;138.1;584.4;332.1;1761;1602;359.3
state_0_20;1745.2;1419.2;810;1594.3;1577.9;5225.3;343
state_4_0;13118.6;291.2;253.1;479.9;2021.2;797.8;181.2
state_4_20;2715.5;4268.8;1320.6;4664;1866.9;3595.6;168.1
