name;cryptominisat(jni);glucose(jni);minisat(jni);sat4j;lingeling(jni);plingeling(jni);minisatprover(jni)
state_old;15455.7;801.3;307.7;3077.7;1940.5;1478.3;332.9
state_new;1100.8;835;1241.5;607.1;1204.4;686.3;174.2
state_improvement;14.04042515;0.9596407186;0.2478453484;5.069510789;1.611175689;2.154014279;1.911021814
transition_old;13998.4;502.2;551.4;682.9;2487.7;1746.3;5494.5
transition_new;707.5;192.9;489.3;2471.3;904.7;560.9;92.5
transition_improvement;19.78572438;2.603421462;1.126916002;0.2763322947;2.749751299;3.113389196;59.4
